baseline_accounted_usd,baseline_billed_subtotal_usd,baseline_component_ms,baseline_unknown_bill_calls,baseline_wall_ms,cascade_accounted_usd,cascade_billed_subtotal_usd,cascade_correct,cascade_predicted,cascade_status,cascade_unknown_bill_calls,cascade_wall_ms,caseId,chosen_status,cohort,dataset,expected,fallback_component_ms,fallback_probability,frozen_path_order,gemini_baseline_accept,gemini_correct,gemini_predicted,gemini_probability,gemini_status,jev_accept,jev_component_ms,jev_correct,jev_predicted,jev_status,local_accepted,local_correct,local_predicted,local_score,local_status,native_confidence,route,safety_accept,safety_human_defer,sourceCategory,text
0.00170025,0.00170025,2715.938216999988,0,2729.0083250000607,0.001861326,0.001861326,True,card_arrival,ok,0,3005.9676050000126,test-0,ok,banking,banking77,card_arrival,2596.515466999961,0.8,"gemini,cascade",False,True,card_arrival,0.8,ok,False,387.12707999988925,False,lost_or_stolen_card,ok,False,False,card_linking,0.05558941739877052,ok,0.93,gemini,False,True,,How do I locate my card?
0.000648,0.000648,1434.6675689998083,0,1447.9445689998101,0.000716418,0.000716418,True,top_up_reverted,ok,0,1948.7339490000159,test-1007,ok,banking,banking77,top_up_reverted,1553.3497089999728,0.95,"gemini,cascade",True,True,top_up_reverted,0.95,ok,False,376.32820999994874,True,top_up_reverted,ok,False,True,top_up_reverted,0.17381354613538771,ok,0.93,gemini,True,False,,"I topped up my account and even though it was confirmed at first, the money isn't there anymore! why did this happen, and where did my money go?"
0.0006315,0.0006315,6321.568437000038,0,6339.652915999992,6.7494e-05,6.7494e-05,True,top_up_reverted,ok,0,345.6341629999224,test-1009,ok,banking,banking77,top_up_reverted,,,"gemini,cascade",True,True,top_up_reverted,0.99,ok,True,333.33230399992317,True,top_up_reverted,ok,True,True,top_up_reverted,0.6249454797295072,ok,1,jev,True,False,,"My top-up was reverted, why did this happen?"
0.000636,0.000636,1496.1991029998753,0,1509.5023219999857,0.000703746,0.000703746,False,top_up_failed,ok,0,1914.0925809999462,test-1010,ok,banking,banking77,top_up_reverted,1582.3390170000494,0.95,"gemini,cascade",False,False,top_up_failed,0.92,ok,False,314.2543560001068,False,top_up_failed,ok,False,False,balance_not_updated_after_cheque_or_cash_deposit,0.15267515999708323,ok,0.88,gemini,True,False,,I put money into my account for the minimum balance but the application didn't accept.
0.00062475,0.00062475,2064.429257999989,0,2077.0452569999034,6.7368e-05,6.7368e-05,True,top_up_reverted,ok,0,326.726234999951,test-1018,ok,banking,banking77,top_up_reverted,,,"gemini,cascade",True,True,top_up_reverted,1,ok,True,316.39977500005625,True,top_up_reverted,ok,True,True,top_up_reverted,0.46032588721929824,ok,1,jev,True,False,,I topped up but the app reverted it
0.00062325,0.00062325,1572.9550680001266,0,1585.2295870000962,6.7284e-05,6.7284e-05,True,top_up_reverted,ok,0,383.89506000000983,test-1028,ok,banking,banking77,top_up_reverted,,,"gemini,cascade",True,True,top_up_reverted,1,ok,True,372.8146209998522,True,top_up_reverted,ok,True,True,top_up_reverted,0.4743266200076248,ok,1,jev,True,False,,Was my top up reversed?
0.0006315,0.0006315,2848.9825960000016,0,2860.691816000006,0.000698994,0.000698994,True,top_up_reverted,ok,0,2498.5911840000044,test-1030,ok,banking,banking77,top_up_reverted,2118.916784000001,0.85,"gemini,cascade",False,True,top_up_reverted,0.85,ok,False,345.12295299999823,True,top_up_reverted,ok,True,True,top_up_reverted,0.48555499557128107,ok,0.68,gemini,False,True,,Do you know if my top-up has been cancelled?
0.00065625,0.00065625,1195.0941060000332,0,1207.6721950001083,0.00072513,0.00072513,True,balance_not_updated_after_cheque_or_cash_deposit,ok,0,2412.7284409999847,test-1040,ok,banking,banking77,balance_not_updated_after_cheque_or_cash_deposit,2056.9390889999922,0.98,"gemini,cascade",True,True,balance_not_updated_after_cheque_or_cash_deposit,0.98,ok,False,338.3442229999928,True,balance_not_updated_after_cheque_or_cash_deposit,ok,False,True,balance_not_updated_after_cheque_or_cash_deposit,0.22937762340011053,ok,0.99,gemini,True,False,,I tried making an update to my balance using cheque just yesterday but it doesn't appear to have worked. Should this not be a faster process? I need you to please check over my account because something has went wrong.
0.00063225,0.00063225,1457.8678660000442,0,1469.9323149999836,0.000699828,0.000699828,True,balance_not_updated_after_cheque_or_cash_deposit,ok,0,1860.0878560000565,test-1047,ok,banking,banking77,balance_not_updated_after_cheque_or_cash_deposit,1489.9447249999503,0.95,"gemini,cascade",True,True,balance_not_updated_after_cheque_or_cash_deposit,0.95,ok,False,349.8978430000134,True,balance_not_updated_after_cheque_or_cash_deposit,ok,True,True,balance_not_updated_after_cheque_or_cash_deposit,0.5115701947335927,ok,0.85,gemini,True,False,,When will I see the cash I deposited this morning as available?
0.00062775,0.00062775,1554.9886470000492,0,1565.5609969999641,6.7536e-05,6.7536e-05,True,balance_not_updated_after_cheque_or_cash_deposit,ok,0,335.9113339999458,test-1057,ok,banking,banking77,balance_not_updated_after_cheque_or_cash_deposit,,,"cascade,gemini",True,True,balance_not_updated_after_cheque_or_cash_deposit,1,ok,True,326.3017439999385,True,balance_not_updated_after_cheque_or_cash_deposit,ok,True,True,balance_not_updated_after_cheque_or_cash_deposit,0.6063597187985594,ok,1,jev,True,False,,I deposited a check but my balance is still the same.
0.00062775,0.00062775,1746.0257139999885,0,1760.4031420000247,6.7326e-05,6.7326e-05,True,exchange_rate,ok,0,293.78118699998595,test-107,ok,banking,banking77,exchange_rate,,,"gemini,cascade",True,True,exchange_rate,0.98,ok,True,280.90612800000235,True,exchange_rate,ok,True,True,exchange_rate,0.5873180232659236,ok,1,jev,True,False,,What is the exchange rate like?
0.00064275,0.00064275,2652.21877100016,0,2661.9942290000618,0.000710916,0.000710916,True,balance_not_updated_after_cheque_or_cash_deposit,ok,0,3324.583849999821,test-1072,ok,banking,banking77,balance_not_updated_after_cheque_or_cash_deposit,2988.2179459999315,0.98,"gemini,cascade",True,True,balance_not_updated_after_cheque_or_cash_deposit,0.98,ok,False,317.09930599993095,True,balance_not_updated_after_cheque_or_cash_deposit,ok,True,True,balance_not_updated_after_cheque_or_cash_deposit,0.2572160258936152,ok,0.77,gemini,True,False,,I sent a cheque  a few days ago and nothing has happened to my account yet. Can you please check on this for me?
0.00060975,0.00060975,1609.835325,0,1622.6763340000034,0.000699828,0.000699828,True,balance_not_updated_after_cheque_or_cash_deposit,ok,0,2224.403636999996,test-1073,ok,banking,banking77,balance_not_updated_after_cheque_or_cash_deposit,1876.5747129999945,0.95,"cascade,gemini",False,True,balance_not_updated_after_cheque_or_cash_deposit,0.85,ok,False,324.78285499999765,True,balance_not_updated_after_cheque_or_cash_deposit,ok,True,True,balance_not_updated_after_cheque_or_cash_deposit,0.38486276262424846,ok,0.9,gemini,True,False,,Has the check I deposited cleared to I can get the cash?
0.00060525,0.00060525,3588.5386500000022,0,3600.1727400000673,6.7494e-05,6.7494e-05,True,balance_not_updated_after_cheque_or_cash_deposit,ok,0,358.2772029999178,test-1077,ok,banking,banking77,balance_not_updated_after_cheque_or_cash_deposit,,,"gemini,cascade",True,True,balance_not_updated_after_cheque_or_cash_deposit,1,ok,True,345.90404300007503,True,balance_not_updated_after_cheque_or_cash_deposit,ok,True,True,balance_not_updated_after_cheque_or_cash_deposit,0.7440203805015527,ok,1,jev,True,False,,Balance hasn't been updated following a cheque or cash deposit
0.00206325,0.00206325,2355.253719000146,0,2365.134367000079,0.0017838840000000001,0.0017838840000000001,False,compromised_card,ok,0,2835.5384680000134,test-1090,ok,banking,banking77,card_payment_not_recognised,2448.1293490000535,0.92,"gemini,cascade",False,False,compromised_card,0.85,ok,False,366.36828999989666,True,card_payment_not_recognised,ok,False,True,card_payment_not_recognised,0.12948288844598926,ok,0.77,gemini,False,True,,There are some payments with my card that I don't know where they are coming from. Just checked today and it's been since a couple days as well! What to I do? Can I revert this retrospectively? My card needs to be frozen immediately as well!
0.0006495,0.0006495,1792.8901189999888,0,1803.0320979999378,0.0007219619999999999,0.0007219619999999999,False,compromised_card,ok,0,1783.410011,test-1092,ok,banking,banking77,card_payment_not_recognised,1433.7197790000355,0.85,"cascade,gemini",False,True,card_payment_not_recognised,0.8,ok,False,322.60106399992947,False,compromised_card,ok,False,True,card_payment_not_recognised,0.1737523675620617,ok,0.53,gemini,False,True,,There are some strange charges on my card that I didn't make from a few days ago.  Is my card stolen and if so should I cancel it?  Will I get refunded the charges?
0.00063375,0.00063375,2277.186022000001,0,2290.305631,0.00070137,0.00070137,True,card_payment_not_recognised,ok,0,2128.2723619999997,test-1093,ok,banking,banking77,card_payment_not_recognised,1736.052143,0.95,"cascade,gemini",True,True,card_payment_not_recognised,0.95,ok,False,363.728932,True,card_payment_not_recognised,ok,True,True,card_payment_not_recognised,0.35826027893775675,ok,0.72,gemini,True,False,,Why would there be a payment on my account I don't recognize?
0.00062475,0.00062475,1840.8027180000208,0,1851.082435999997,6.7326e-05,6.7326e-05,True,card_payment_not_recognised,ok,0,404.7219190001488,test-1098,ok,banking,banking77,card_payment_not_recognised,,,"gemini,cascade",True,True,card_payment_not_recognised,1,ok,True,395.88463900005445,True,card_payment_not_recognised,ok,True,True,card_payment_not_recognised,0.4064374088153899,ok,1,jev,True,False,,I don't recognise a card payment
0.00063075,0.00063075,1808.4834290000144,0,1820.7419379998464,0.0006757019999999999,0.0006757019999999999,True,card_payment_not_recognised,ok,0,1710.826146000065,test-1109,ok,banking,banking77,card_payment_not_recognised,1400.689071000088,0.85,"gemini,cascade",True,True,card_payment_not_recognised,0.95,ok,False,287.31401799991727,True,card_payment_not_recognised,ok,False,False,verify_source_of_funds,0.15039198935045053,ok,0.83,gemini,False,True,,I don't know where this transaction came from?
0.00062925,0.00062925,1541.7073889999883,0,1553.6582389999821,0.0011729099999999999,0.0011729099999999999,True,card_payment_not_recognised,ok,0,2646.521172000008,test-1117,ok,banking,banking77,card_payment_not_recognised,2318.755508000002,0.9,"cascade,gemini",True,True,card_payment_not_recognised,0.95,ok,False,307.0656960000051,True,card_payment_not_recognised,ok,True,False,extra_charge_on_statement,0.46832175012537824,ok,0.89,gemini,False,True,,There is a fraudulent charge on my statement.
0.00062325,0.00062325,1513.3202210000018,0,1526.239241000032,6.7284e-05,6.7284e-05,True,edit_personal_details,ok,0,297.9092570000794,test-1121,ok,banking,banking77,edit_personal_details,,,"cascade,gemini",True,True,edit_personal_details,1,ok,True,284.5830480000004,True,edit_personal_details,ok,True,True,edit_personal_details,0.8961041480344758,ok,1,jev,True,False,,How to change my address.
0.000624,0.000624,1549.0341790000093,0,1558.7314079999924,6.7326e-05,6.7326e-05,True,edit_personal_details,ok,0,327.3577649999934,test-1138,ok,banking,banking77,edit_personal_details,,,"gemini,cascade",True,True,edit_personal_details,1,ok,True,318.4032349999761,True,edit_personal_details,ok,False,True,edit_personal_details,0.18916402804458834,ok,1,jev,True,False,,I need to update my info.
0.00062325,0.00062325,1780.9300000000512,0,1794.1550980000757,6.7284e-05,6.7284e-05,True,edit_personal_details,ok,0,374.82030099991243,test-1144,ok,banking,banking77,edit_personal_details,,,"gemini,cascade",True,True,edit_personal_details,1,ok,True,364.3927210000111,True,edit_personal_details,ok,True,True,edit_personal_details,0.900156081372936,ok,1,jev,True,False,,how can i change my details
0.000627,0.000627,1474.9934059998486,0,1486.6888150000013,6.7494e-05,6.7494e-05,True,edit_personal_details,ok,0,325.8192440001294,test-1145,ok,banking,banking77,edit_personal_details,,,"cascade,gemini",True,True,edit_personal_details,1,ok,True,314.93855599989183,True,edit_personal_details,ok,False,True,edit_personal_details,0.11258829921894446,ok,1,jev,True,False,,I need help changing my last name on my account.
0.000624,0.000624,1471.6076050000265,0,1483.3739849999547,6.7326e-05,6.7326e-05,True,edit_personal_details,ok,0,345.5595229999162,test-1149,ok,banking,banking77,edit_personal_details,,,"gemini,cascade",True,True,edit_personal_details,1,ok,True,336.42697299993597,True,edit_personal_details,ok,True,True,edit_personal_details,0.8490361169242459,ok,1,jev,True,False,,I want to change my address.
0.000627,0.000627,1601.9492359999567,0,1611.2653040001169,6.7284e-05,6.7284e-05,True,exchange_rate,ok,0,371.95776099991053,test-115,ok,banking,banking77,exchange_rate,,,"gemini,cascade",True,True,exchange_rate,0.98,ok,True,364.113791000098,True,exchange_rate,ok,True,True,exchange_rate,0.781441837790847,ok,1,jev,True,False,,why do your exchange rates change
