baseline_accounted_usd,baseline_billed_subtotal_usd,baseline_component_ms,baseline_unknown_bill_calls,baseline_wall_ms,cascade_accounted_usd,cascade_billed_subtotal_usd,cascade_correct,cascade_predicted,cascade_status,cascade_unknown_bill_calls,cascade_wall_ms,caseId,chosen_status,cohort,dataset,expected,fallback_component_ms,fallback_probability,frozen_path_order,gemini_baseline_accept,gemini_correct,gemini_predicted,gemini_probability,gemini_status,jev_accept,jev_component_ms,jev_correct,jev_predicted,jev_status,local_accepted,local_correct,local_predicted,local_score,local_status,native_confidence,route,safety_accept,safety_human_defer,sourceCategory,text
0.00166725,0.00166725,4133.849340999965,0,4241.0188029999845,0.001258368,0.001258368,,terminate_account,ok,0,3375.3798199999146,clinc-test-1003,ok,oos,clinc150,,2921.068063999992,0.02,"cascade,gemini",False,,terminate_account,0.01,ok,False,363.5823719999753,,terminate_account,ok,False,,,0.04399387405388294,,0.09,gemini,False,True,next_song,i dont want to listen to this song
0.001338,0.001338,2436.3693719999865,0,2444.823522000108,0.000696618,0.000696618,,exchange_via_app,ok,0,2248.799125000136,clinc-test-1006,ok,oos,clinc150,,1750.0341839999892,0.02,"gemini,cascade",False,,card_not_working,0.02,ok,False,480.50705200014636,,verify_my_identity,ok,False,,,0.04582021068899378,,0.11,gemini,False,True,next_song,let's go to the next song please
0.00106725,0.00106725,1915.8431619999465,0,1927.3966709999368,0.0006958680000000001,0.0006958680000000001,,exchange_via_app,ok,0,1935.0231899998616,clinc-test-1009,ok,oos,clinc150,,1429.1077890000306,0.01,"cascade,gemini",False,,card_not_working,0.01,ok,False,482.52344299992546,,verify_my_identity,ok,False,,,0.04708434931673036,,0.16,gemini,False,True,next_song,please can we go to the next song
0.000624,0.000624,1569.4974199999124,0,1580.2107090000063,0.0015311160000000001,0.0015311160000000001,,card_arrival,ok,0,2809.117554999888,clinc-test-1011,ok,oos,clinc150,,2439.4970029999968,0.23,"cascade,gemini",False,,card_not_working,0.05,ok,False,349.59556299983524,,card_arrival,ok,False,,,0.14119338454806124,,0.08,gemini,False,True,next_song,next track
0.00285225,0.00285225,4505.04610399995,0,4515.071241999976,0.000691908,0.000691908,,cancel_transfer,ok,0,1644.9858029996976,clinc-test-1013,ok,oos,clinc150,,1241.381813999731,0.05,"cascade,gemini",False,,card_delivery_estimate,0.15,ok,False,381.9495009998791,,cancel_transfer,ok,False,,,0.07649077070000965,,0.25,gemini,False,True,next_song,skip this track
0.0006285,0.0006285,1835.4273980001453,0,1852.2275870000012,0.0006958680000000001,0.0006958680000000001,,card_not_working,ok,0,1841.2845749999397,clinc-test-1018,ok,oos,clinc150,,1456.6692540000658,0.01,"cascade,gemini",False,,apple_pay_or_google_pay,0.05,ok,False,361.8111420001369,,verify_my_identity,ok,False,,,0.02977841862722643,,0.15,gemini,False,True,next_song,play the next song please if you would
0.000627,0.000627,1528.7571509999689,0,1538.2855299999937,0.001358034,0.001358034,,supported_cards_and_currencies,ok,0,2791.50615299982,clinc-test-1652,ok,oos,clinc150,,2415.689781999914,0.01,"cascade,gemini",False,,supported_cards_and_currencies,0.01,ok,False,357.04377300012857,,verify_my_identity,ok,False,,,0.02681936891146655,,0.09,gemini,False,True,nutrition_info,tell me nutritional info for fish
0.00060375,0.00060375,1545.4816519999877,0,1554.912881999975,0.001136076,0.001136076,,supported_cards_and_currencies,ok,0,2581.017932999879,clinc-test-1655,ok,oos,clinc150,,2267.625247000018,0.01,"gemini,cascade",False,,supported_cards_and_currencies,0.01,ok,False,295.7822979998309,,verify_my_identity,ok,False,,,0.04185508852705304,,0.11,gemini,False,True,nutrition_info,how healthy is blueberrys
0.000606,0.000606,1831.4139380000997,0,1843.0668170000426,0.001322118,0.001322118,,card_acceptance,ok,0,2352.2032059999183,clinc-test-1657,ok,oos,clinc150,,2006.3240639998112,0.01,"cascade,gemini",False,,card_acceptance,0.01,ok,False,325.03532400005497,,card_acceptance,ok,False,,,0.023387599051097857,,0.06,gemini,False,True,nutrition_info,how healthy is mcdonalds
0.0006045,0.0006045,2125.8164360001683,0,2138.7088349997066,0.0006944099999999999,0.0006944099999999999,,card_acceptance,ok,0,2920.873265999835,clinc-test-1658,ok,oos,clinc150,,2453.6597910001874,0.01,"gemini,cascade",False,,supported_cards_and_currencies,0.01,ok,False,442.26703600026667,,,error,False,,,0.04185508852705304,,,gemini,False,True,nutrition_info,how healthy is a cheeseburger
